sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s179	s179_a1	sample	1	a	1	36	2015-03-06 01:13:00	23-dinor-11b-PGF2a	4.042	652	23-dinor-11b-PGF2a_ISTD	5.214	187667
s179	s179_a1	sample	1	a	1	36	2015-03-06 01:13:00	23-dinor-8-iso-PGF2a	3.444	408	23-dinor-8-iso-PGF2a_ISTD	4.65	40751
s179	s179_a1	sample	1	a	1	36	2015-03-06 01:13:00	8-iso-PGF3a	3.701	12503	8-iso-PGF3a_ISTD	4.65	40751
s187	s187_a1	sample	1	a	1	37	2015-03-06 01:28:00	23-dinor-11b-PGF2a	4.016	574	23-dinor-11b-PGF2a_ISTD	5.206	200406
s187	s187_a1	sample	1	a	1	37	2015-03-06 01:28:00	23-dinor-8-iso-PGF2a	3.449	445	23-dinor-8-iso-PGF2a_ISTD	4.639	45600
s187	s187_a1	sample	1	a	1	37	2015-03-06 01:28:00	8-iso-PGF3a	3.68	7007	8-iso-PGF3a_ISTD	4.639	45600
s082	s082_a1	sample	1	a	1	38	2015-03-06 01:42:00	23-dinor-11b-PGF2a	4.033	505	23-dinor-11b-PGF2a_ISTD	5.207	179561
s082	s082_a1	sample	1	a	1	38	2015-03-06 01:42:00	23-dinor-8-iso-PGF2a	3.46	306	23-dinor-8-iso-PGF2a_ISTD	4.645	40280
s082	s082_a1	sample	1	a	1	38	2015-03-06 01:42:00	8-iso-PGF3a	3.69	23347	8-iso-PGF3a_ISTD	4.645	40280
s085	s085_a1	sample	1	a	1	39	2015-03-06 01:57:00	23-dinor-11b-PGF2a	4.018	263	23-dinor-11b-PGF2a_ISTD	5.205	219306
s085	s085_a1	sample	1	a	1	39	2015-03-06 01:57:00	23-dinor-8-iso-PGF2a	3.433	1164	23-dinor-8-iso-PGF2a_ISTD	4.644	50549
s085	s085_a1	sample	1	a	1	39	2015-03-06 01:57:00	8-iso-PGF3a	3.675	6166	8-iso-PGF3a_ISTD	4.644	50549
s016	s016_a1	sample	1	a	1	40	2015-03-06 02:11:00	23-dinor-11b-PGF2a	4.024	373	23-dinor-11b-PGF2a_ISTD	5.206	189833
s016	s016_a1	sample	1	a	1	40	2015-03-06 02:11:00	23-dinor-8-iso-PGF2a	3.455	905	23-dinor-8-iso-PGF2a_ISTD	4.645	42716
s016	s016_a1	sample	1	a	1	40	2015-03-06 02:11:00	8-iso-PGF3a	3.759	9556	8-iso-PGF3a_ISTD	4.645	42716
s090	s090_a1	sample	1	a	1	41	2015-03-06 02:25:00	23-dinor-11b-PGF2a	4.027	493	23-dinor-11b-PGF2a_ISTD	5.195	154924
s090	s090_a1	sample	1	a	1	41	2015-03-06 02:25:00	23-dinor-8-iso-PGF2a	3.395	1666	23-dinor-8-iso-PGF2a_ISTD	4.641	38072
s090	s090_a1	sample	1	a	1	41	2015-03-06 02:25:00	8-iso-PGF3a	3.882	3775	8-iso-PGF3a_ISTD	4.641	38072
s149	s149_a1	sample	1	a	1	42	2015-03-06 02:40:00	23-dinor-11b-PGF2a	4.024	656	23-dinor-11b-PGF2a_ISTD	5.207	150829
s149	s149_a1	sample	1	a	1	42	2015-03-06 02:40:00	23-dinor-8-iso-PGF2a	3.442	899	23-dinor-8-iso-PGF2a_ISTD	4.644	36394
s149	s149_a1	sample	1	a	1	42	2015-03-06 02:40:00	8-iso-PGF3a	3.678	6562	8-iso-PGF3a_ISTD	4.644	36394
s0001_qc	s0001qc_d1	qc	1	d	1	43	2015-03-06 02:54:00	23-dinor-11b-PGF2a	4.015	694	23-dinor-11b-PGF2a_ISTD	5.208	145143
s0001_qc	s0001qc_d1	qc	1	d	1	43	2015-03-06 02:54:00	23-dinor-8-iso-PGF2a	3.424	1613	23-dinor-8-iso-PGF2a_ISTD	4.645	36163
s0001_qc	s0001qc_d1	qc	1	d	1	43	2015-03-06 02:54:00	8-iso-PGF3a	3.673	8040	8-iso-PGF3a_ISTD	4.645	36163
s153	s153_a1	sample	1	a	1	44	2015-03-06 03:09:00	23-dinor-11b-PGF2a	3.808	135	23-dinor-11b-PGF2a_ISTD	5.203	192016
s153	s153_a1	sample	1	a	1	44	2015-03-06 03:09:00	23-dinor-8-iso-PGF2a	3.422	1114	23-dinor-8-iso-PGF2a_ISTD	4.645	42489
s153	s153_a1	sample	1	a	1	44	2015-03-06 03:09:00	8-iso-PGF3a			8-iso-PGF3a_ISTD	4.645	42489
s169	s169_a1	sample	1	a	1	45	2015-03-06 03:23:00	23-dinor-11b-PGF2a	4.036	372	23-dinor-11b-PGF2a_ISTD	5.207	175599
s169	s169_a1	sample	1	a	1	45	2015-03-06 03:23:00	23-dinor-8-iso-PGF2a	3.421	1582	23-dinor-8-iso-PGF2a_ISTD	4.642	49233
s169	s169_a1	sample	1	a	1	45	2015-03-06 03:23:00	8-iso-PGF3a	3.686	14509	8-iso-PGF3a_ISTD	4.642	49233
s147	s147_a1	sample	1	a	1	46	2015-03-06 03:38:00	23-dinor-11b-PGF2a	4.026	577	23-dinor-11b-PGF2a_ISTD	5.204	150753
s147	s147_a1	sample	1	a	1	46	2015-03-06 03:38:00	23-dinor-8-iso-PGF2a	3.441	534	23-dinor-8-iso-PGF2a_ISTD	4.64	39886
s147	s147_a1	sample	1	a	1	46	2015-03-06 03:38:00	8-iso-PGF3a	3.666	13725	8-iso-PGF3a_ISTD	4.64	39886
s174	s174_a1	sample	1	a	1	47	2015-03-06 03:52:00	23-dinor-11b-PGF2a	3.864	130	23-dinor-11b-PGF2a_ISTD	5.2	218058
