sample	aliquot	type	injection	replicate	batch	order	datetime	compound	rt	area	compound_is	rt_is	area_is
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.70	1376	o-phosphoethanolamine_ISTD		139757
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.71	1301	o-phosphoethanolamine_ISTD		148541
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.70	1413	o-phosphoethanolamine_ISTD		146492
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.70	1311	o-phosphoethanolamine_ISTD		147203
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.70	1313	o-phosphoethanolamine_ISTD		151775
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.69	1206	o-phosphoethanolamine_ISTD		150575
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.68	1475	o-phosphoethanolamine_ISTD		147728
s02_qc	s02qc_g2	qc	2	g	2	92	1970-01-03 08:34:52	o-phosphoethanolamine	1.68	1376	o-phosphoethanolamine_ISTD		145221
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	L-4-hydroxy-proline	1.33	12	L-4-hydroxy-proline_ISTD		144334
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	L-4-hydroxy-proline	1.32	37	L-4-hydroxy-proline_ISTD		152661
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	L-histidine	1.51	23	L-histidine_ISTD		144334
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	L-histidine	1.50	8	L-histidine_ISTD		147515
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	L-histidine	1.52	6	L-histidine_ISTD		147961
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	L-histidine	1.51	22	L-histidine_ISTD		152661
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	L-histidine	1.50	20	L-histidine_ISTD		148868
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	o-phosphoethanolamine	1.74	473	o-phosphoethanolamine_ISTD		144334
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	o-phosphoethanolamine	1.72	413	o-phosphoethanolamine_ISTD		147515
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	o-phosphoethanolamine	1.71	450	o-phosphoethanolamine_ISTD		147961
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	o-phosphoethanolamine	1.72	455	o-phosphoethanolamine_ISTD		152661
s02_sst	s02sst_a5	sst	5	a	2	97	1970-01-03 08:34:57	o-phosphoethanolamine	1.71	438	o-phosphoethanolamine_ISTD		148868
