ID#	1							
Name	2_3-dinor-8-iso-PGF2a							
	Data Filename	Sample Type	Ret. Time	Area	S/N	ISTD Area	ISTD Ret.Time	Date Acquired
41	S022_A1.lcd	Unknown	3,917	803	47,25	134955	5,099	12/03/15 14:10
42	S022_B1.lcd	Unknown	3,912	1119	47,98	121364	5,086	11/03/15 21:41
43	S022_B2.lcd	Unknown	3,843	39	4,18	113037	5,141	11/03/15 23:32
44	S024_A1.lcd	Unknown	3,937	2436	111,35	146690	5,122	12/03/15 02:54
45	S026_A1.lcd	Unknown	3,921	440	22,14	168239	5,094	12/03/15 14:53
46	S029_A1.lcd	Unknown	3,928	881	50,82	145193	5,1	11/03/15 21:13
47	S033_A1.lcd	Unknown	3,917	894	45,09	166380	5,097	12/03/15 13:13
48	S035_A1.lcd	Unknown	-----	-----	-----	182533	5,049	11/03/15 17:32
49	S036_A1.lcd	Unknown	3,885	644	56,88	127368	5,045	11/03/15 16:20
50	S037_A1.lcd	Unknown	3,922	1429	67,88	142004	5,097	12/03/15 08:54
51	S039_A1.lcd	Unknown	3,953	416	16,82	145662	5,129	12/03/15 05:32
52	S039_B1.lcd	Unknown	3,939	445	36,08	145448	5,111	12/03/15 07:56
53	S041_A1.lcd	Unknown	3,957	316	8,91	141607	5,134	12/03/15 01:56
54	S044_A1.lcd	Unknown	3,867	666	46,34	153520	5,05	11/03/15 17:18
55	S045_A1.lcd	Unknown	3,924	288	66,92	159576	5,095	12/03/15 11:46
56	S048_A1.lcd	Unknown	3,946	334	15,65	132916	5,129	12/03/15 07:27
57	S049_A1.lcd	Unknown	3,95	606	44,32	169015	5,139	12/03/15 00:29
58	S050_A1.lcd	Unknown	3,942	448	18,08	135474	5,129	12/03/15 06:44
59	S051_A1.lcd	Unknown	3,957	1284	71,24	126928	5,13	12/03/15 04:20
60	S054_A1.lcd	Unknown	3,888	519	38,62	70105	5,054	11/03/15 16:35
61	S055_A1.lcd	Unknown	3,926	799	25,06	140315	5,126	12/03/15 04:06
62	S056_A1.lcd	Unknown	3,924	1488	64,61	140905	5,097	12/03/15 12:01
63	S056_B1.lcd	Unknown	3,948	1347	114,19	136174	5,138	12/03/15 01:41
64	S060_A1.lcd	Unknown	3,891	348	33,65	147231	5,059	11/03/15 15:52
65	S061_A1.lcd	Unknown	3,914	755	13,56	154382	5,088	12/03/15 11:32
66	S063_A1.lcd	Unknown	3,949	1287	53,62	149075	5,141	12/03/15 00:15
67	S064_A1.lcd	Unknown	3,95	710	42,65	122997	5,129	12/03/15 06:59
68	S067_A1.lcd	Unknown	3,935	473	31,95	150425	5,122	12/03/15 04:35
69	S068_A1.lcd	Unknown	3,89	815	55,7	128927	5,036	11/03/15 18:16
