Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
S0006_A1	08/13/2015 21:58:30	1-OG-Q	569473.031500002	25407.9058115288	2AG-ISTD	22.4140070468076	6.19723099709273	4.62560141744145
S0039_A1	08/13/2015 22:11:11	2-LG-Q	44142.8530887524	33178.9731271268	2AG-ISTD	7.93044663316182	4.72415406320253	4.62692811823874
S0039_A1	08/13/2015 22:11:11	1-LG-Q	308198.135500784	33178.9731271268	2AG-ISTD	3.28895943584237	4.95591502395428	4.62692811823874
S0039_A1	08/13/2015 22:11:11	1-OG-Q	1256196.1315	33178.9731271268	2AG-ISTD	37.8612118791869	6.20071816353359	4.62692811823874
S0011_A1	08/13/2015 22:23:52	2-LG-Q	15115.0173932388	31217.9101088635	2AG-ISTD	0.484177747342136	4.73251086272404	4.62971026185293
S0011_A1	08/13/2015 22:23:52	1-LG-Q	98490.9963016787	31217.9101088635	2AG-ISTD	3.15495162739016	4.95988359109735	4.62971026185293
S0011_A1	08/13/2015 22:23:52	1-OG-Q	597506.210500006	31217.9101088635	2AG-ISTD	13.1398530015743	6.20346354931883	4.62971026185293
S0026_B1	08/13/2015 22:36:34	2-LG-Q	29836.9963826838	34384.4627383505	2AG-ISTD	0.867729026616604	4.72547190732301	4.62943581949682
S0026_B1	08/13/2015 22:36:34	1-LG-Q	232503.106709621	34384.4627383505	2AG-ISTD	6.7618653366452	4.96132430661358	4.62943581949682
S0026_B1	08/13/2015 22:36:34	1-OG-Q	838048.158500002	34384.4627383505	2AG-ISTD	24.9728734363876	6.20073763619761	4.62943581949682
S0008_A1	08/13/2015 22:49:15	2-LG-Q	15164.7309749434	33764.1777093667	2AG-ISTD	0.449136688755683	4.73316393190139	4.63298536178955
S0008_A1	08/13/2015 22:49:15	1-LG-Q	148477.211169272	33764.1777093667	2AG-ISTD	4.99747748182483	4.96102603794388	4.63298536178955
S0008_A1	08/13/2015 22:49:15	1-OG-Q	606570.671499999	33764.1777093667	2AG-ISTD	17.9649176331555	6.20414523317967	4.63298536178955
S0001BLANK_A3	08/13/2015 23:01:56	2-LG-Q	1877.00557390351	1684.42880004256	2AG-ISTD	7.11076560425483	4.68303146140265	4.95123037417346
S0001BLANK_A3	08/13/2015 23:01:56	1-LG-Q	237.223476250006	1684.42880004256	2AG-ISTD	0.137271148679104	4.96031666666667	4.95123037417346
S0001BLANK_A3	08/13/2015 23:01:56	1-OG-Q	1613.17449999998	1684.42880004256	2AG-ISTD	0.96126028001841	6.06970214473323	4.95123037417346
S0001QC_B2	08/13/2015 23:14:38	2-LG-Q	26594.8015016408	33746.7928821356	2AG-ISTD	0.788069005387448	4.71989961307682	4.63552200225602
S0001QC_B2	08/13/2015 23:14:38	1-LG-Q	236194.671698818	33746.7928821356	2AG-ISTD	6.99902573034878	4.96040617822177	4.63552200225602
S0001QC_B2	08/13/2015 23:14:38	1-OG-Q	843207.986500002	33746.7928821356	2AG-ISTD	24.9861368884735	6.19908861552901	4.63552200225602
S0010_A1	08/13/2015 23:27:20	2-LG-Q	20980.6034851466	30646.2634039202	2AG-ISTD	0.684605598033947	4.72155923808636	4.63430100149554
S0010_A1	08/13/2015 23:27:20	1-LG-Q	155353.714821617	30646.2634039202	2AG-ISTD	5.06925470077844	4.95891750548509	4.63430100149554
S0010_A1	08/13/2015 23:27:20	1-OG-Q	572557.022000001	30646.2634039202	2AG-ISTD	18.6827677636799	6.20128899787408	4.63430100149554
S0030_A1	08/13/2015 23:40:02	2-LG-Q	23882.8346705641	31568.7583578863	2AG-ISTD	0.75653386173162	4.72615872647219	4.63133438503683
S0030_A1	08/13/2015 23:40:02	1-LG-Q	233724.29780906	31568.7583578863	2AG-ISTD	7.40365823575931	4.95874132700972	4.63133438503683
S0030_A1	08/13/2015 23:40:02	1-OG-Q	542827.413	31568.7583578863	2AG-ISTD	17.1950827728514	6.20113962099755	4.63133438503683
S0043_A1	08/13/2015 23:52:43	2-LG-Q	30740.6455434974	34457.2911932648	2AG-ISTD	0.892137613809471	4.72345175301269	4.63446527918791
S0043_A1	08/13/2015 23:52:43	1-LG-Q	314065.156782045	34457.2911932648	2AG-ISTD	3.11462119934238	4.9569478068402	4.63446527918791
S0043_A1	08/13/2015 23:52:43	1-OG-Q	1343960.0305	34457.2911932648	2AG-ISTD	33.0036472386051	6.20246826841102	4.63446527918791
S0046_A1	01/11/2013 00:05:25	2-LG-Q	24774.6522062581	27238.0408317867	2AG-ISTD	0.909560726458202	4.72115552878469	4.6398942887791
S0046_A1	01/11/2013 00:05:25	1-LG-Q	167827.924192037	27238.0408317867	2AG-ISTD	6.16128469842772	4.95842494048995	4.6398942887791
S0046_A1	01/11/2013 00:05:25	1-OG-Q	671247.906499997	27238.0408317867	2AG-ISTD	24.643744043318	6.20140595387262	4.6398942887791
S0025_A1	01/11/2013 00:18:06	2-LG-Q	27830.2179644565	32345.2053970061	2AG-ISTD	0.860412466789666	4.71828298709322	4.63594739993578
S0025_A1	01/11/2013 00:18:06	1-LG-Q	246504.665701478	32345.2053970061	2AG-ISTD	7.62105736154313	4.95834738269933	4.63594739993578
S0025_A1	01/11/2013 00:18:06	1-OG-Q	841805.101365909	32345.2053970061	2AG-ISTD	26.0256532933881	6.20088547133673	4.63594739993578
